ID,Ref.,Cit.,Alloy,Dmax,Fe,Co,B,Si,Nb,Ni,Y,Zr,Cr,Mo,P,C,Hf,Al,Dy,Er,Mn,Ti,V,Cu,Sn,W,Ta
12,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe67Mo5Y6B22 ,3.5,0.67,0,0.22,0,0,0,0.06,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
13,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe65Mo14C15B6,1.5,0.65,0,0.06,0,0,0,0,0,0,0.14,0,0.15,0,0,0,0,0,0,0,0,0,0,0
14,[4],"[4] S.F. Guo, Z.Y. Wu, L. Liu, Preparation and magnetic properties of FeCoHfMoBY bulk metallic glasses, J. Alloys Compd. 468 (2009) 54–57. https://doi.org/10.1016/j.jallcom.2008.01.066.",Fe62Co8Hf5Mo7B15Y3,3,0.62,0.08,0.15,0,0,0,0.03,0,0,0.07,0,0,0.05,0,0,0,0,0,0,0,0,0,0
15,[5],"[5] Z.P. Lu, C.T. Liu, W.D. Porter, Role of yttrium in glass formation of Fe-based bulk metallic glasses, Appl. Phys. Lett. 83 (2003) 2581. https://doi.org/10.1063/1.1614833.",Fe61Y2Zr8Co6Al1Mo7B15,5,0.61,0.06,0.15,0,0,0,0.02,0.08,0,0.07,0,0,0,0.01,0,0,0,0,0,0,0,0,0
16,[6] ,"[6] M. Iqbal, J.I. Akhter, H.F. Zhang, Z.Q. Hu, Synthesis and characterization of bulk amorphous steels, J. Non-Cryst. Solids. 354 (2008) 3284–3290. https://doi.org/10.1016/j.jnoncrysol.2008.02.009.",Fe50Cr14Mo14C14B6Dy2,4,0.5,0,0.06,0,0,0,0,0,0.14,0.14,0,0.14,0,0,0.02,0,0,0,0,0,0,0,0
17,[7],"[7] C. Suryanarayana, A. Inoue, Iron-based bulk metallic glasses, Int. Mater. Rev. 58 (2013) 131–166. https://doi.org/10.1179/1743280412Y.0000000007.",(Fe44.3Cr5Co5Mo12.8Mn11.2C15.8B5.9)98.5Y1.5,12,0.43635,0.04925,0.05812,0,0,0,0.015,0,0.04925,0.12608,0,0.15563,0,0,0,0,0.11032,0,0,0,0,0,0
18,[7],"[7] C. Suryanarayana, A. Inoue, Iron-based bulk metallic glasses, Int. Mater. Rev. 58 (2013) 131–166. https://doi.org/10.1179/1743280412Y.0000000007.",(Fe44.3Cr10Mo13.8Mn11.2C15.8B5.9)98.5Y1.5,12,0.43635,0,0.05812,0,0,0,0.015,0,0.0985,0.12608,0,0.15563,0,0,0,0,0.11032,0,0,0,0,0,0
19,[8],"[8] J. Shen, Q. Chen, J. Sun, H. Fan, G. Wang, Exceptionally high glass-forming ability of an FeCoCrMoCBY alloy, Appl. Phys. Lett. 86 (2005) 151907. https://doi.org/10.1063/1.1897426.",Fe41Co7Cr15Mo14C15B6Y2,16,0.41,0.07,0.06,0,0,0,0.02,0,0.15,0.14,0,0.15,0,0,0,0,0,0,0,0,0,0,0
20,[9],"[9] V. Ponnambalam, S.J. Poon, G.J. Shiflet, Fe-based bulk metallic glasses with diameter thickness larger than one centimeter, J. Mater. Res. 19. (2004) 1320–1323. https://doi.org/10.1557/JMR.2004.0176.",Fe48Cr15Mo14C15B6Y2,9,0.48,0,0.06,0,0,0,0.02,0,0.15,0.14,0,0.15,0,0,0,0,0,0,0,0,0,0,0
21,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe43Co5Cr15Mo14C15B6Y2,9,0.43,0.05,0.06,0,0,0,0.02,0,0.15,0.14,0,0.15,0,0,0,0,0,0,0,0,0,0,0
22,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe56Mn5Cr7Mo12Er2C12B6,8,0.56,0,0.06,0,0,0,0,0,0.07,0.12,0,0.12,0,0,0,0.02,0.05,0,0,0,0,0,0
23,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",Fe58Cr5Mo14Er2C15B6,6,0.58,0,0.06,0,0,0,0,0,0.05,0.14,0,0.15,0,0,0,0.02,0,0,0,0,0,0,0
24,[10],"[10] Z.B. Jiao, H.X. Li, J.E. Gao, Y. Wu, Z.P. Lu, Effects of alloying elements on glass formation, mechanical and soft-magnetic properties of Fe-based metallic glasses, Intermetallics. 19 (2011) 1502–1508. https://doi.org/10.1016/j.intermet.2011.05.020.",Fe76Si3.3P8.7C7.0B5.0,1,0.76,0,0.05,0.033,0,0,0,0,0,0,0.087,0.07,0,0,0,0,0,0,0,0,0,0,0
25,[10],"[10] Z.B. Jiao, H.X. Li, J.E. Gao, Y. Wu, Z.P. Lu, Effects of alloying elements on glass formation, mechanical and soft-magnetic properties of Fe-based metallic glasses, Intermetallics. 19 (2011) 1502–1508. https://doi.org/10.1016/j.intermet.2011.05.020.",Fe75Si3.3P8.7C7.0B5.0Al1,2,0.75,0,0.05,0.033,0,0,0,0,0,0,0.087,0.07,0,0.01,0,0,0,0,0,0,0,0,0
26,[10],"[10] Z.B. Jiao, H.X. Li, J.E. Gao, Y. Wu, Z.P. Lu, Effects of alloying elements on glass formation, mechanical and soft-magnetic properties of Fe-based metallic glasses, Intermetallics. 19 (2011) 1502–1508. https://doi.org/10.1016/j.intermet.2011.05.020.",Fe75Si3.3P8.7C7.0B5.0Ti1,1.5,0.75,0,0.05,0.033,0,0,0,0,0,0,0.087,0.07,0,0,0,0,0,0.01,0,0,0,0,0
27,[10],"[10] Z.B. Jiao, H.X. Li, J.E. Gao, Y. Wu, Z.P. Lu, Effects of alloying elements on glass formation, mechanical and soft-magnetic properties of Fe-based metallic glasses, Intermetallics. 19 (2011) 1502–1508. https://doi.org/10.1016/j.intermet.2011.05.020.",Fe75Si3.3P8.7C7.0B5.0V1,1.5,0.75,0,0.05,0.033,0,0,0,0,0,0,0.087,0.07,0,0,0,0,0,0,0.01,0,0,0,0
28,[10],"[10] Z.B. Jiao, H.X. Li, J.E. Gao, Y. Wu, Z.P. Lu, Effects of alloying elements on glass formation, mechanical and soft-magnetic properties of Fe-based metallic glasses, Intermetallics. 19 (2011) 1502–1508. https://doi.org/10.1016/j.intermet.2011.05.020.",Fe75Si3.3P8.7C7.0B5.0Cr1,2,0.75,0,0.05,0.033,0,0,0,0,0.01,0,0.087,0.07,0,0,0,0,0,0,0,0,0,0,0
29,[10],"[10] Z.B. Jiao, H.X. Li, J.E. Gao, Y. Wu, Z.P. Lu, Effects of alloying elements on glass formation, mechanical and soft-magnetic properties of Fe-based metallic glasses, Intermetallics. 19 (2011) 1502–1508. https://doi.org/10.1016/j.intermet.2011.05.020.",Fe75.5Si3.3P8.7C7.0B5.0Mn0.5,1,0.755,0,0.05,0.033,0,0,0,0,0,0,0.087,0.07,0,0,0,0,0.005,0,0,0,0,0,0
30,[10],"[10] Z.B. Jiao, H.X. Li, J.E. Gao, Y. Wu, Z.P. Lu, Effects of alloying elements on glass formation, mechanical and soft-magnetic properties of Fe-based metallic glasses, Intermetallics. 19 (2011) 1502–1508. https://doi.org/10.1016/j.intermet.2011.05.020.",Fe69Si3.3P8.7C7.0B5.0Co7,3,0.69,0.07,0.05,0.033,0,0,0,0,0,0,0.087,0.07,0,0,0,0,0,0,0,0,0,0,0
31,[10],"[10] Z.B. Jiao, H.X. Li, J.E. Gao, Y. Wu, Z.P. Lu, Effects of alloying elements on glass formation, mechanical and soft-magnetic properties of Fe-based metallic glasses, Intermetallics. 19 (2011) 1502–1508. https://doi.org/10.1016/j.intermet.2011.05.020.",Fe71Si3.3P8.7C7.0B5.0Ni5,3,0.71,0,0.05,0.033,0,0.05,0,0,0,0,0.087,0.07,0,0,0,0,0,0,0,0,0,0,0
32,[10],"[10] Z.B. Jiao, H.X. Li, J.E. Gao, Y. Wu, Z.P. Lu, Effects of alloying elements on glass formation, mechanical and soft-magnetic properties of Fe-based metallic glasses, Intermetallics. 19 (2011) 1502–1508. https://doi.org/10.1016/j.intermet.2011.05.020.",Fe75.7Si3.3P8.7C7.0B5.0Cu0.3,3,0.757,0,0.05,0.033,0,0,0,0,0,0,0.087,0.07,0,0,0,0,0,0,0,0.003,0,0,0
33,[10],"[10] Z.B. Jiao, H.X. Li, J.E. Gao, Y. Wu, Z.P. Lu, Effects of alloying elements on glass formation, mechanical and soft-magnetic properties of Fe-based metallic glasses, Intermetallics. 19 (2011) 1502–1508. https://doi.org/10.1016/j.intermet.2011.05.020.",Fe75.5Si3.3P8.7C7.0B5.0Zr0.5,0.5,0.755,0,0.05,0.033,0,0,0,0.005,0,0,0.087,0.07,0,0,0,0,0,0,0,0,0,0,0
34,[10],"[10] Z.B. Jiao, H.X. Li, J.E. Gao, Y. Wu, Z.P. Lu, Effects of alloying elements on glass formation, mechanical and soft-magnetic properties of Fe-based metallic glasses, Intermetallics. 19 (2011) 1502–1508. https://doi.org/10.1016/j.intermet.2011.05.020.",Fe75.5Si3.3P8.7C7.0B5.0Nb0.5,1.5,0.755,0,0.05,0.033,0.005,0,0,0,0,0,0.087,0.07,0,0,0,0,0,0,0,0,0,0,0
35,[10],"[10] Z.B. Jiao, H.X. Li, J.E. Gao, Y. Wu, Z.P. Lu, Effects of alloying elements on glass formation, mechanical and soft-magnetic properties of Fe-based metallic glasses, Intermetallics. 19 (2011) 1502–1508. https://doi.org/10.1016/j.intermet.2011.05.020.",Fe73Si3.3P8.7C7.0B5.0Mo3,5,0.73,0,0.05,0.033,0,0,0,0,0,0.03,0.087,0.07,0,0,0,0,0,0,0,0,0,0,0
36,[11],"[11] A. Inoue, B. Shen, New Fe-based bulk glassy alloys with high saturated magnetic flux density of 1.4–1.5T, Mater. Sci. Eng. A. 375–377 (2004) 302–306. https://doi.org/10.1016/j.msea.2003.10.058.",Fe75B15Si10,0.25,0.75,0,0.15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",(Fe0.75B0.15Si0.10)99Zr1,0.75,0.7425,0,0.1485,0.099,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",(Fe0.75B0.15Si0.10)99Nb1,0.5,0.7425,0,0.1485,0.099,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",(Fe0.75B0.15Si0.10)98Nb2,1,0.735,0,0.147,0.098,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",(Fe0.75B0.15Si0.10)96Nb4,1.5,0.72,0,0.144,0.096,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",[(Fe0.9Co0.1)0.75B0.2Si0.05]96Nb4,2,0.648,0.072,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",[(Fe0.8Co0.2)0.75B0.2Si0.05]96Nb4,2.5,0.576,0.144,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",[(Fe0.7Co0.3)0.75B0.2Si0.05]96Nb4,3.5,0.504,0.216,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",[(Fe0.6Co0.4)0.75B0.2Si0.05]96Nb4,4,0.432,0.288,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,[12],"[12] Z. Long, H. Wei, Y. Ding, P. Zhang, G. Xie, A. Inoue, A new criterion for predicting the glass-forming ability of bulk metallic glasses, J. Alloys. Compd. 475 (2009) 207–219. https://doi.org/10.1016/j.jallcom.2008.07.087.",[(Co0.9Fe0.1)0.75B0.2Si0.05]96Nb4,2,0.072,0.648,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,[12],"[12] Z. Long, H. Wei, Y. Ding, P. Zhang, G. Xie, A. Inoue, A new criterion for predicting the glass-forming ability of bulk metallic glasses, J. Alloys. Compd. 475 (2009) 207–219. https://doi.org/10.1016/j.jallcom.2008.07.087.",[(Co0.8Fe0.2)0.75B0.2Si0.05]96Nb4,2.5,0.144,0.576,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,[12],"[12] Z. Long, H. Wei, Y. Ding, P. Zhang, G. Xie, A. Inoue, A new criterion for predicting the glass-forming ability of bulk metallic glasses, J. Alloys. Compd. 475 (2009) 207–219. https://doi.org/10.1016/j.jallcom.2008.07.087.",[(Co0.7Fe0.3)0.75B0.2Si0.05]96Nb4 ,3.5,0.216,0.504,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,[12],"[12] Z. Long, H. Wei, Y. Ding, P. Zhang, G. Xie, A. Inoue, A new criterion for predicting the glass-forming ability of bulk metallic glasses, J. Alloys. Compd. 475 (2009) 207–219. https://doi.org/10.1016/j.jallcom.2008.07.087.",[(Co0.6Fe0.4)0.75B0.2Si0.05]96Nb4,4,0.288,0.432,0.192,0.048,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,[7],"[7] C. Suryanarayana, A. Inoue, Iron-based bulk metallic glasses, Int. Mater. Rev. 58 (2013) 131–166. https://doi.org/10.1179/1743280412Y.0000000007.",[(Fe0.8Co0.1Ni0.1)0.75B0.2Si0.05]96Nb4,2.5,0.576,0.072,0.192,0.048,0.04,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,[7],"[7] C. Suryanarayana, A. Inoue, Iron-based bulk metallic glasses, Int. Mater. Rev. 58 (2013) 131–166. https://doi.org/10.1179/1743280412Y.0000000007.",[(Fe0.6Co0.1Ni0.3)0.75B0.2Si0.05]96Nb4,3,0.432,0.072,0.192,0.048,0.04,0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,[7],"[7] C. Suryanarayana, A. Inoue, Iron-based bulk metallic glasses, Int. Mater. Rev. 58 (2013) 131–166. https://doi.org/10.1179/1743280412Y.0000000007.",[(Fe0.6Co0.2Ni0.2)0.75B0.2Si0.05]96Nb4,4,0.432,0.144,0.192,0.048,0.04,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,[7],"[7] C. Suryanarayana, A. Inoue, Iron-based bulk metallic glasses, Int. Mater. Rev. 58 (2013) 131–166. https://doi.org/10.1179/1743280412Y.0000000007.",[(Fe0.6Co0.3Ni0.1)0.75B0.2Si0.05]96Nb4,4,0.432,0.216,0.192,0.048,0.04,0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",(Fe72Nb4B20Si4)98Y2,2,0.7056,0,0.196,0.0392,0.0392,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",(Fe72Nb4B20Si4)97Y3,4,0.6984,0,0.194,0.0388,0.0388,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",(Fe72Nb4B20Si4)96Y4,3,0.6912,0,0.192,0.0384,0.0384,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}99Cr1,4,0.42768,0.28512,0.19008,0.04752,0.0396,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}98Cr2,4,0.42336,0.28224,0.18816,0.04704,0.0392,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}97Cr3,3.5,0.41904,0.27936,0.18624,0.04656,0.0388,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,[1],"[1] Z.-Z. Yuan, S.-L. Bao, Y. Lu, D.-P. Zhang, L. Yao, A new criterion for evaluating the glass-forming ability of bulk glass forming alloys, J. Alloys . Compd. 459 (2008) 251–260. https://doi.org/10.1016/j.jallcom.2007.05.037.",{[(Fe0.6Co0.4)0.75B0.2Si0.05]0.96Nb0.04}96Cr4,3,0.41472,0.27648,0.18432,0.04608,0.0384,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,[9],"[9] V. Ponnambalam, S.J. Poon, G.J. Shiflet, Fe-based bulk metallic glasses with diameter thickness larger than one centimeter, J. Mater. Res. 19. (2004) 1320–1323. https://doi.org/10.1557/JMR.2004.0176.",Fe48Cr15Mo14Dy2C15B6,9,0.48,0,0.06,0,0,0,0,0,0.15,0.14,0,0.15,0,0,0.02,0,0,0,0,0,0,0,0
61,[7],"[7] C. Suryanarayana, A. Inoue, Iron-based bulk metallic glasses, Int. Mater. Rev. 58 (2013) 131–166. https://doi.org/10.1179/1743280412Y.0000000007.",Fe52Cr15Mo9Er3C15B6,6,0.52,0,0.06,0,0,0,0,0,0.15,0.09,0,0.15,0,0,0,0.03,0,0,0,0,0,0,0
62,[13],"[13] X. Yang, X. Ma, Q. Li, S. Guo, The effect of Mo on the glass forming ability, mechanical and magnetic properties of FePC ternary bulk metallic glasses, J. Alloys Compd. 554 (2013) 446–449. https://doi.org/10.1016/j.jallcom.2012.11.170.",Fe77Mo3P13C7,5.5,0.77,0,0,0,0,0,0,0,0,0.03,0.13,0.07,0,0,0,0,0,0,0,0,0,0,0
63,[13],"[13] X. Yang, X. Ma, Q. Li, S. Guo, The effect of Mo on the glass forming ability, mechanical and magnetic properties of FePC ternary bulk metallic glasses, J. Alloys Compd. 554 (2013) 446–449. https://doi.org/10.1016/j.jallcom.2012.11.170.",Fe74Mo6P13C7,6,0.74,0,0,0,0,0,0,0,0,0.06,0.13,0.07,0,0,0,0,0,0,0,0,0,0,0
64,[13],"[13] X. Yang, X. Ma, Q. Li, S. Guo, The effect of Mo on the glass forming ability, mechanical and magnetic properties of FePC ternary bulk metallic glasses, J. Alloys Compd. 554 (2013) 446–449. https://doi.org/10.1016/j.jallcom.2012.11.170.",Fe71Mo9P13C7,2.5,0.71,0,0,0,0,0,0,0,0,0.09,0.13,0.07,0,0,0,0,0,0,0,0,0,0,0
